# GeneMark.hmm-2 LST format
# GeneMark.hmm-2 prokaryotic version: 1.06
# File with sequence: tmpseq.fna
# File with native parameters: itr_1.mod
# File with MetaGeneMark parameters: /home/karl/repos/repos-gms2/bin/mgm_11.mod
#
# translation table: 11
# output date start: Sun Oct 28 17:19:54 2018

# sequence-region 1 4411532
SequenceID: anydef
     1   +   <1    1524    1524 nativebacarc native
    65   +    65771    66694     924 nativebacarc  0 3 native
    66   +    66923    68362    1440 nativebacarc  0 3 native
    67   +    68424    68579     156 nativebac  0 3 native
    68   +    68620    71559    2940 nativebacarc  0 3 native
    69   +    71589    71828     240 nativebac  0 3 native
    70   +    71821    72222     402 nativebacarc  0 3 native
    71   -    72274    74511    2238 nativebacarc  0 3 native
    72   -    74629    75198     570 nativebacarc  0 3 native
    73   +    75301    76212     912 nativebacarc  0 3 native
    74   -    76237    77622    1386 nativebacarc  0 3 native
    75   -    77619    78896    1278 nativebacarc  0 3 native
    76   +    79486    80193     708 nativebacarc  0 3 native
    77   +    80624    81673    1050 nativebacarc  0 3 native
    78   +    81676    82668     993 nativebacarc  0 3 native
    79   +    82748    83983    1236 nativebacarc  0 3 native
    80   +    83996    85168    1173 nativebacarc  0 3 native
    81   -    85183    85503     321 nativebac  0 3 atypical
    82   -    85636    86490     855 nativebacarc  0 3 native
    83   +    86528    87133     606 nativebacarc  0 3 native
    84   -    87208    87678     471 nativebacarc  0 3 atypical
    85   +    88333    89025     693 nativebac  0 3 native
    86   +    89022    89480     459 nativebacarc  0 3 native
    87   +    89485    89919     435 nativebacarc  0 3 native
    88   +    89924    90403     480 nativebacarc  0 3 native
    89   +    90400    92322    1923 nativebacarc  0 3 native
    90   +    92328    93278     951 nativebacarc  0 3 native
    91   +    93289    93951     663 nativebacarc  0 3 native
    92   +    93951    95417    1467 nativebacarc  0 3 native
    93   +    95417    96892    1476 nativebacarc  0 3 native
    94   +    97119    97601     483 nativebacarc  0 3 native
    95   +    97758    98351     594 nativebacarc  0 3 native
    96   +    98480    99250     771 nativebacarc  0 3 native
    97   +    99684    100451     768 nativebacarc  0 3 native
    98   +    100676    102868    2193 nativebacarc  0 3 native
    99   -    102815    103525     711 nativebac  0 3 native
   100   -    103710    104669     960 nativebacarc  0 3 native
   101   -    104805    105101     297 nativebacarc  0 3 native
   102   +    105324    106715    1392 nativebacarc  0 3 native
   103   +    106734    107603     870 nativebacarc  0 3 atypical
   104   +    107600    108151     552 nativebacarc  0 3 native
   105   +    108180    109778    1599 nativebacarc  0 3 native
   106   +    109771    110019     249 nativebacarc  0 3 native
   107   +    110001    117539    7539 nativebacarc  0 3 native
   108   +    117777    119699    1923 nativebacarc  0 3 native
   109   -    119915    122173    2259 nativebacarc  0 3 native
   110   +    122344    123831    1488 nativebacarc  0 3 native
   111   -    123980    124264     285 native  0 3 native
   112   +    124374    125570    1197 nativebacarc  0 3 native
   113   -    125643    130556    4914 nativebacarc  0 3 native
   114   -    130895    131128     234 nativebac  0 3 native
   115   +    131382    132872    1491 nativebacarc  0 3 native
   116   +    133020    133769     750 nativebacarc  0 3 native
   117   +    133992    136007    2016 nativebacarc  0 3 native
   118   +    136289    137245     957 nativebacarc  0 3 atypical
   119   +    137286    137909     624 nativebac  0 3 atypical
   120   +    138513    139673    1161 nativebacarc  0 3 native
   121   +    139956    140144     189 bac  0 3 atypical
   122   -    140267    141031     765 nativebacarc  0 3 native
   123   +    141194    142144     951 nativebacarc  0 3 native
   124   -    142128    143876    1749 nativebacarc  0 3 native
   125   +    143998    145626    1629 nativebacarc  0 3 native
   126   -    145627    147771    2145 nativebacarc  0 3 native
   127   -    147908    148342     435 nativebac  0 3 native
   128   +    148677    148859     183 nativebac  0 3 native
   129   +    148847    149224     378 nativebacarc  0 3 atypical
   130   +    149533    150996    1464 nativebac  0 3 native
   131   +    151187    152215    1029 nativebacarc  0 3 native
   132   +    152324    154129    1806 nativebacarc  0 3 native
   133   +    154232    155599    1368 nativebacarc  0 3 native
   134   +    155667    156446     780 nativebacarc  0 3 native
   135   -    156578    157600    1023 nativebacarc  0 3 native
   136   +    157847    158302     456 nativebacarc  0 3 native
   137   -    158315    159658    1344 nativebacarc  0 3 native
   138   -    159700    160782    1083 nativebacarc  0 3 native
   139   +    160869    161474     606 nativebacarc  0 3 native
   140   +    161771    162673     903 nativebacarc  0 3 native
   141   -    162644    163249     606 nativebacarc  0 3 native
   142   +    163366    164691    1326 nativebacarc  0 3 native
   143   -    164712    165260     549 nativebacarc  0 3 native
   144   +    165323    165826     504 nativebacarc  0 3 native
   145   +    165827    166849    1023 nativebacarc  0 3 native
   146   +    166910    167290     381 nativebacarc  0 3 native
   147   -    167271    167681     411 nativebacarc  0 3 native
   148   +    167711    168637     927 nativebacarc  0 3 native
   149   -    168704    170128    1425 nativebacarc  0 3 native
   150   +    170581    171126     546 nativebacarc  0 3 native
   151   +    171215    172168     954 nativebacarc  0 3 native
   152   +    172202    173143     942 nativebacarc  0 3 native
   153   +    173238    174758    1521 nativebacarc  0 3 native
   154   +    174833    175693     861 nativebacarc  0 3 native
   155   +    175700    176668     969 nativebacarc  0 3 native
   156   -    176665    176985     321 nativebac  0 3 native
   157   +    177388    177513     126 nativebac  0 3 atypical
   158   -    177543    179225    1683 nativebacarc  0 3 native
   159   -    179319    180362    1044 nativebacarc  0 3 atypical
   160   -    180805    181029     225 nativebac  0 3 native
   161   -    181155    181985     831 nativebacarc  0 3 native
   162   -    181987    183210    1224 nativebacarc  0 3 native
   163   +    183622    184722    1101 nativebacarc  0 3 native
   164   +    184723    185055     333 nativebacarc  0 3 native
   165   +    185052    186479    1428 nativebacarc  0 3 native
   166   -    186495    186620     126 native  0 3 native
   167   +    186884    187429     546 nativebacarc  0 3 atypical
   168   -    187433    188839    1407 nativebacarc  0 3 native
   169   -    188931    190439    1509 nativebacarc  0 3 native
   170   +    190607    191956    1350 nativebacarc  0 3 native
   171   -    191984    193102    1119 nativebacarc  0 3 native
   172   +    193117    193572     456 nativebacarc  0 3 native
   173   +    193680    194111     432 nativebacarc  0 3 atypical
   174   -    194144    194758     615 nativebacarc  0 3 native
   175   +    194993    196657    1665 nativebacarc  0 3 native
   176   +    196861    197658     798 nativebacarc  0 3 native
   177   +    197660    198529     870 nativebacarc  0 3 native
   178   +    198534    199898    1365 nativebacarc  0 3 native
   179   +    199895    200935    1041 nativebacarc  0 3 native
   180   +    200959    202479    1521 nativebacarc  0 3 native
   181   +    202476    204068    1593 nativebacarc  0 3 native
   182   +    204068    205237    1170 nativebacarc  0 3 native
   183   +    205231    206778    1548 nativebacarc  0 3 native
   184   +    206748    207455     708 nativebacarc  0 3 native
   185   +    207452    208420     969 nativebacarc  0 3 native
   186   +    208417    208971     555 nativebacarc  0 3 atypical
   187   +    208938    209672     735 nativebacarc  0 3 native
   188   -    209703    210785    1083 nativebacarc  0 3 native
   189   -    210892    212250    1359 nativebacarc  0 3 native
   190   -    212277    213011     735 nativebacarc  0 3 native
   191   -    213028    214026     999 nativebacarc  0 3 native
   192   +    214088    214927     840 nativebacarc  0 3 native
   193   +    214969    215718     750 nativebacarc  0 3 native
   194   +    215715    216224     510 nativebac  0 3 native
   195   +    216269    218344    2076 nativebacarc  0 3 native
   196   +    218711    219367     657 nativebacarc  0 3 native
   197   +    219525    219917     393 nativebacarc  0 3 native
   198   -    219996    221723    1728 nativebacarc  0 3 native
   199   +    221871    222161     291 nativebacarc  0 3 native
   200   +    222289    223530    1242 nativebacarc  0 3 native
   201   +    223798    224664     867 nativebacarc  0 3 native
   202   -    224724    226550    1827 nativebacarc  0 3 native
   203   +    226878    230462    3585 nativebacarc  0 3 native
   204   +    230836    231534     699 nativebacarc  0 3 atypical
   205   +    231647    232231     585 nativebacarc  0 3 native
   206   +    232228    234519    2292 nativebacarc  0 3 native
   207   -    234516    236507    1992 nativebacarc  0 3 native
   208   +    236550    237209     660 nativebacarc  0 3 native
   209   +    237206    237895     690 nativebacarc  0 3 native
   210   -    237892    238395     504 nativebacarc  0 3 native
   211   -    238392    241292    2901 nativebacarc  0 3 native
   212   +    241514    241924     411 nativebacarc  0 3 native
   213   -    241976    243151    1176 nativebacarc  0 3 native
   214   +    243384    244487    1104 nativebacarc  0 3 native
   215   -    244484    247261    2778 nativebacarc  0 3 native
   216   -    247384    248118     735 nativebacarc  0 3 native
   217   -    248115    248948     834 nativebacarc  0 3 native
   218   +    249038    250123    1086 nativebacarc  0 3 native
   219   +    250120    251598    1479 nativebacarc  0 3 native
   220   +    251782    253602    1821 nativebacarc  0 3 native
   221   -    253669    254628     960 nativebacarc  0 3 atypical
   222   -    254637    255974    1338 nativebacarc  0 3 native
   223   +    256160    257677    1518 nativebacarc  0 3 native
   224   -    257783    258856    1074 nativebacarc  0 3 native
   225   +    258913    259926    1014 nativebac  0 3 native
   226   -    259923    260831     909 nativebacarc  0 3 native
   227   +    260924    262252    1329 nativebacarc  0 3 native
   228   +    262254    262802     549 nativebacarc  0 3 native
   229   +    262812    264023    1212 nativebacarc  0 3 native
   230   +    264067    265476    1410 nativebacarc  0 3 native
   231   +    265507    266295     789 nativebacarc  0 3 native
   232   -    266301    267764    1464 nativebacarc  0 3 native
   233   -    267863    268627     765 nativebacarc  0 3 native
   234   +    268663    269817    1155 nativebacarc  0 3 native
   235   -    269834    271564    1731 nativebacarc  0 3 native
   236   -    271574    272854    1281 nativebacarc  0 3 native
   237   +    273115    274278    1164 nativebacarc  0 3 native
   238   -    274306    274719     414 nativebacarc  0 3 atypical
   239   -    274710    274904     195 nativebac  0 3 native
   240   -    274983    275963     981 nativebacarc  0 3 native
   241   +    276079    277764    1686 nativebacarc  0 3 native
   242   +    277899    278588     690 nativebacarc  0 3 native
   243   +    278585    279529     945 nativebacarc  0 3 native
   244   -    279605    280978    1374 nativebacarc  0 3 native
   245   -    281166    282614    1449 nativebacarc  0 3 native
   246   -    282649    286842    4194 nativebacarc  0 3 native
   247   -    286898    287071     174 nativebac  0 3 native
   248   +    287186    288352    1167 nativebacarc  0 3 native
   249   +    288476    289042     567 nativebacarc  0 3 native
   250   +    289176    289337     162 nativebac  0 3 atypical
   251   +    289345    289782     438 nativebacarc  0 3 native
   252   -    289812    290654     843 nativebacarc  0 3 native
   253   -    290665    292029    1365 nativebacarc  0 3 native
   254   +    292171    293493    1323 nativebacarc  0 3 native
   255   -    293798    295633    1836 nativebacarc  0 3 native
   256   +    296005    296493     489 nativebacarc  0 3 native
   257   +    296848    298119    1272 nativebacarc  0 3 native
   258   -    298116    298844     729 nativebacarc  0 3 atypical
   259   -    298863    300803    1941 nativebacarc  0 3 native
   260   -    300834    301655     822 nativebacarc  0 3 native
   261   -    301735    302028     294 nativebacarc  0 3 native
   262   -    302173    302652     480 nativebacarc  0 3 native
   263   +    302866    305427    2562 nativebacarc  0 3 native
   264   +    305453    305809     357 nativebacarc  0 3 native
   265   -    305825    306349     525 nativebacarc  0 3 native
   266   -    306374    307858    1485 nativebacarc  0 3 native
   267   -    307877    309547    1671 nativebacarc  0 3 native
   268   -    310294    310698     405 nativebacarc  0 3 native
   269   -    310774    311517     744 nativebac  0 3 native
   270   -    311514    312659    1146 nativebacarc  0 3 native
   271   -    312759    314168    1410 nativebacarc  0 3 native
   272   -    314309    314854     546 nativebacarc  0 3 native
   273   -    314864    315766     903 nativebacarc  0 3 native
   274   -    315783    316436     654 nativebacarc  0 3 native
   275   -    316511    317473     963 nativebacarc  0 3 native
   276   -    317525    321154    3630 nativebacarc  0 3 native
   277   +    321331    322722    1392 nativebacarc  0 3 native
   278   -    322764    322967     204 nativebacarc  0 3 native
   279   -    323338    324531    1194 nativebacarc  0 3 native
   280   +    324567    326249    1683 nativebacarc  0 3 native
   281   -    326266    328461    2196 nativebacarc  0 3 native
   282   -    328575    329591    1017 nativebacarc  0 3 native
   283   -    329705    330346     642 nativebacarc  0 3 native
   284   +    330422    331003     582 nativebacarc  0 3 native
   285   -    330933    331658     726 nativebacarc  0 3 native
   286   +    331748    332668     921 nativebacarc  0 3 native
   287   -    332708    333136     429 nativebacarc  0 3 native
   288   -    333160    333333     174 nativebac  0 3 native
   289   -    333437    336310    2874 nativebacarc  0 3 native
   290   -    336560    339073    2514 nativebacarc  0 3 native
   291   +    339349    340974    1626 nativebacarc  0 3 native
   292   +    340998    341906     909 nativebacarc  0 3 native
   293   +    342130    344025    1896 nativebacarc  0 3 native
   294   +    344022    345638    1617 nativebacarc  0 3 native
   295   +    345635    349627    3993 nativebacarc  0 3 native
   296   +    349624    349932     309 nativebacarc  0 3 native
   297   +    349935    351476    1542 nativebacarc  0 3 native
   298   +    351525    351818     294 nativebacarc  0 3 native
   299   +    351860    352138     279 nativebacarc  0 3 atypical
   300   +    352149    353036     888 nativebacarc  0 3 native
   301   +    353083    354501    1419 nativebacarc  0 3 native
   302   +    354498    355883    1386 nativebacarc  0 3 native
   303   +    355880    356875     996 nativebac  0 3 native
   304   -    356862    358073    1212 nativebacarc  0 3 native
   305   +    358153    358956     804 nativebacarc  0 3 native
   306   -    358945    359748     804 nativebacarc  0 3 native
   307   -    359758    361164    1407 nativebacarc  0 3 native
   308   +    361334    363109    1776 nativebacarc  0 3 native
   309   +    363252    363479     228 nativebacarc  0 3 native
   310   +    363476    363778     303 nativebacarc  0 3 native
   311   +    363826    364047     222 native  0 3 native
   312   +    364044    364469     426 nativebacarc  0 3 atypical
   313   +    364605    365237     633 nativebacarc  0 3 atypical
   314   +    365333    366142     810 nativebacarc  0 3 atypical
   315   -    366150    372959    6810 nativebacarc  0 3 native
   316   -    372820    375711    2892 nativebacarc  0 3 native
   317   +    375914    376585     672 nativebacarc  0 3 native
   318   -    376573    377055     483 nativebacarc  0 3 native
   319   +    377113    377829     717 nativebac  0 3 native
   320   +    378000    378587     588 nativebacarc  0 3 native
   321   -    378657    379133     477 nativebacarc  0 3 native
   322   +    379172    380401    1230 nativebacarc  0 3 native
   323   +    380556    382418    1863 nativebacarc  0 3 native
   324   +    382490    382876     387 nativebacarc  0 3 native
   325   -    382879    383541     663 nativebacarc  0 3 native
   326   +    383608    384486     879 nativebacarc  0 3 native
   327   +    384535    385149     615 nativebacarc  0 3 native
   328   -    385173    385874     702 nativebacarc  0 3 native
   329   -    386305    387081     777 nativebacarc  0 3 native
   330   +    387148    387816     669 nativebacarc  0 3 native
   331   +    387963    388550     588 nativebacarc  0 3 native
   332   +    388582    389154     573 nativebacarc  0 3 native
   333   +    389260    390591    1332 nativebacarc  0 3 native
   334   -    390580    391215     636 nativebacarc  0 3 native
   335   +    391352    392032     681 nativebacarc  0 3 native
   336   +    392066    392263     198 nativebac  0 3 native
   337   +    392273    392728     456 nativebac  0 3 native
   338   -    392696    394045    1350 nativebacarc  0 3 native
   339   +    394111    394713     603 nativebacarc  0 3 native
   340   -    394694    395101     408 nativebacarc  0 3 atypical
   341   +    395102    395248     147 bac  0 3 atypical
   342   -    395347    396087     741 nativebacarc  0 3 native
   343   +    396201    397367    1167 nativebacarc  0 3 native
   344   +    397442    398227     786 nativebacarc  0 3 native
   345   +    398254    398628     375 nativebacarc  0 3 native
   346   +    398658    399524     867 nativebacarc  0 3 native
   347   +    400168    401703    1536 nativebacarc  0 3 native
   348   -    401873    403162    1290 nativebacarc  0 3 native
   349   -    403193    405841    2649 nativebacarc  0 3 native
   350   -    405950    408400    2451 nativebacarc  0 3 native
   351   +    408634    409173     540 nativebacarc  0 3 native
   352   +    409362    410801    1440 nativebacarc  0 3 native
   353   +    410907    412760    1854 nativebacarc  0 3 native
   354   +    412757    414238    1482 nativebacarc  0 3 native
   355   -    414381    414914     534 nativebacarc  0 3 native
   356   +    415044    415460     417 nativebac  0 3 native
   357   -    415502    416965    1464 nativebacarc  0 3 native
   358   +    417478    418290     813 nativebacarc  0 3 atypical
   359   +    418293    418946     654 nativebacarc  0 3 native
   360   -    418901    419119     219 nativebac  0 3 atypical
   361   +    419192    419608     417 nativebacarc  0 3 native
   362   +    419835    421712    1878 nativebacarc  0 3 native
   363   +    421709    422416     708 nativebacarc  0 3 native
   364   +    422452    423639    1188 nativebacarc  0 3 native
   365   +    423639    424019     381 nativebacarc  0 3 native
   366   -    424144    424236      93 native  0 3 native
   367   -    424269    424682     414 nativebacarc  0 3 native
   368   -    424777    434679    9903 nativebacarc  0 3 native
   369   -    434830    435474     645 nativebacarc  0 3 native
   370   -    435471    436769    1299 nativebacarc  0 3 native
   371   +    436860    437507     648 nativebacarc  0 3 native
   372   +    437518    438297     780 nativebacarc  0 3 native
   373   -    438302    438706     405 nativebacarc  0 3 native
   374   +    438822    439649     828 nativebacarc  0 3 native
   375   +    439871    441253    1383 nativebacarc  0 3 native
   376   -    441265    442299    1035 nativebacarc  0 3 native
   377   +    442395    443078     684 nativebacarc  0 3 native
   378   -    443067    444197    1131 nativebacarc  0 3 native
   379   -    444222    444815     594 nativebacarc  0 3 native
   380   -    444844    445233     390 nativebacarc  0 3 atypical
   381   -    445314    446525    1212 nativebacarc  0 3 native
   382   -    446531    447133     603 nativebacarc  0 3 native
   383   -    447147    448043     897 nativebacarc  0 3 native
   384   -    448040    448633     594 nativebacarc  0 3 native
   385   -    448630    449385     756 nativebacarc  0 3 native
   386   -    449404    451803    2400 nativebacarc  0 3 native
   387   -    451800    452267     468 nativebacarc  0 3 native
   388   -    452294    453196     903 nativebacarc  0 3 native
   389   -    453230    454396    1167 nativebacarc  0 3 native
   390   +    454421    455386     966 nativebacarc  0 3 native
   391   +    455631    455858     228 native  0 3 native
   392   +    455983    456192     210 nativebacarc  0 3 atypical
   393   -    456268    456918     651 nativebacarc  0 3 native
   394   -    456915    457823     909 nativebacarc  0 3 native
   395   -    457841    458380     540 nativebacarc  0 3 native
   396   -    458461    459315     855 nativebacarc  0 3 native
   397   -    459456    462002    2547 nativebacarc  0 3 native
   398   +    462135    463307    1173 nativebacarc  0 3 native
   399   +    463411    466668    3258 nativebacarc  0 3 native
   400   -    466672    467406     735 nativebac  0 3 native
   401   -    467459    468001     543 nativebacarc  0 3 native
   402   +    468299    469594    1296 nativebacarc  0 3 native
   403   +    469591    470013     423 nativebacarc  0 3 atypical
   404   +    470010    471230    1221 nativebacarc  0 3 native
   405   -    471227    472639    1413 nativebacarc  0 3 native
   406   +    472842    473105     264 nativebac  0 3 native
   407   +    473114    474106     993 nativebacarc  0 3 native
   408   -    474122    474811     690 nativebacarc  0 3 atypical
   409   +    474940    475344     405 nativebac  0 3 native
   410   +    475326    475742     417 nativebacarc  0 3 native
   411   +    475816    476184     369 nativebac  0 3 native
   412   -    476679    477320     642 nativebacarc  0 3 native
   413   -    477327    478556    1230 nativebacarc  0 3 native
   414   -    478566    479753    1188 nativebacarc  0 3 native
   415   +    479789    480160     372 nativebac  0 3 native
   416   -    480355    483231    2877 nativebacarc  0 3 native
   417   -    483228    483656     429 nativebacarc  0 3 native
   418   +    484529    485734    1206 bacarc  0 3 atypical
   419   +    485731    489939    4209 nativebacarc  0 3 atypical
   420   -    489887    490645     759 nativebacarc  0 3 native
   421   +    490783    491793    1011 nativebacarc  0 3 native
   422   +    491786    493858    2073 nativebacarc  0 3 native
   423   +    493851    495008    1158 nativebacarc  0 3 native
   424   -    495062    497314    2253 nativebacarc  0 3 native
   425   -    497314    498300     987 nativebacarc  0 3 native
   426   -    498300    499619    1320 nativebacarc  0 3 native
   427   +    499746    500366     621 nativebacarc  0 3 native
   428   -    500350    501018     669 nativebacarc  0 3 native
   429   +    501148    502170    1023 nativebacarc  0 3 native
   430   +    502167    502373     207 nativebacarc  0 3 native
   431   +    502366    503124     759 nativebacarc  0 3 native
   432   +    503496    504998    1503 nativebacarc  0 3 native
   433   +    505152    506582    1431 nativebacarc  0 3 native
   434   -    506561    506887     327 nativebac  0 3 native
   435   -    507132    507761     630 nativebacarc  0 3 native
   436   -    507758    508585     828 nativebacarc  0 3 native
   437   -    508582    510225    1644 nativebacarc  0 3 native
   438   -    510377    510655     279 nativebacarc  0 3 atypical
   439   -    510702    515321    4620 nativebacarc  0 3 native
   440   -    515373    515774     402 nativebac  0 3 native
   441   -    516017    516892     876 nativebacarc  0 3 native
   442   -    516895    517740     846 nativebacarc  0 3 native
   443   -    517803    518396     594 nativebacarc  0 3 native
   444   +    518745    519041     297 nativebacarc  0 3 native
   445   +    519094    519567     474 nativebacarc  0 3 native
   446   +    519600    520322     723 nativebacarc  0 3 native
   447   +    520387    521454    1068 nativebacarc  0 3 native
   448   +    521514    522167     654 nativebacarc  0 3 native
   449   -    522347    524533    2187 nativebacarc  0 3 native
   450   -    524530    525390     861 nativebacarc  0 3 native
   451   -    525387    526082     696 nativebacarc  0 3 native
   452   -    526143    527321    1179 nativebacarc  0 3 native
   453   -    527379    528314     936 nativebacarc  0 3 native
   454   +    528608    530230    1623 nativebacarc  0 3 native
   455   -    530296    530724     429 nativebac  0 3 native
   456   -    530751    532163    1413 nativebacarc  0 3 native
   457   +    532396    532911     516 nativebacarc  0 3 native
   458   -    533091    533789     699 nativebacarc  0 3 native
   459   -    533833    534396     564 nativebacarc  0 3 native
   460   -    534445    535227     783 nativebacarc  0 3 native
   461   -    535224    536507    1284 nativebacarc  0 3 native
   462   -    536504    537235     732 nativebacarc  0 3 native
   463   -    537229    538524    1296 nativebacarc  0 3 native
   464   -    538588    541491    2904 nativebacarc  0 3 atypical
   465   -    541488    541904     417 nativebacarc  0 3 native
   466   +    542142    542852     711 nativebacarc  0 3 native
   467   +    543195    544730    1536 nativebacarc  0 3 native
   468   -    544736    545059     324 nativebac  0 3 native
   469   -    545375    545821     447 nativebacarc  0 3 native
   470   -    545889    546803     915 nativebacarc  0 3 native
   471   -    547586    549607    2022 nativebacarc  0 3 native
   472   +    549675    551198    1524 nativebacarc  0 3 native
   473   +    551198    551689     492 nativebacarc  0 3 native
   474   +    551710    551988     279 nativebac  0 3 native
   475   +    551981    552550     570 nativebacarc  0 3 native
   476   +    552614    554008    1395 nativebacarc  0 3 native
   477   +    554055    554309     255 nativebacarc  0 3 atypical
   478   -    554313    554885     573 nativebacarc  0 3 native
   479   -    554882    556306    1425 nativebacarc  0 3 native
   480   +    556458    557252     795 nativebacarc  0 3 native
   481   +    557527    558813    1287 nativebacarc  0 3 native
   482   +    558895    559755     861 nativebacarc  0 3 native
   483   +    559870    560748     879 nativebacarc  0 3 atypical
   484   -    560848    561711     864 nativebacarc  0 3 native
   485   -    561864    562058     195 nativebac  0 3 native
   486   -    562225    562713     489 native  0 3 native
   487   -    562723    563427     705 nativebacarc  0 3 atypical
   488   +    563564    564934    1371 nativebacarc  0 3 native
   489   +    565021    565443     423 nativebacarc  0 3 native
   490   +    565797    566396     600 nativebacarc  0 3 native
   491   +    566484    566771     288 nativebacarc  0 3 native
   492   +    566776    567222     447 nativebac  0 3 native
   493   +    567249    567896     648 nativebacarc  0 3 native
   494   -    567921    568820     900 nativebacarc  0 3 native
   495   -    568964    569806     843 nativebacarc  0 3 native
   496   -    569988    570512     525 nativebacarc  0 3 native
   497   +    570539    571648    1110 nativebacarc  0 3 native
   498   +    571827    573065    1239 nativebacarc  0 3 native
   499   -    573046    573801     756 nativebacarc  0 3 native
   500   +    574185    575300    1116 nativebacarc  0 3 native
   501   +    575348    576790    1443 nativebacarc  0 3 native
   502   +    576808    577338     531 nativebacarc  0 3 native
   503   +    577643    578269     627 nativebacarc  0 3 native
   504   +    578426    579175     750 nativebacarc  0 3 native
   505   +    579349    580581    1233 nativebacarc  0 3 native
   506   +    580809    581492     684 nativebacarc  0 3 native
   507   -    581489    583378    1890 nativebacarc  0 3 native
   508   -    583375    583704     330 nativebacarc  0 3 atypical
   509   -    583701    584651     951 nativebac  0 3 native
   510   +    584707    585423     717 nativebacarc  0 3 native
   511   -    585424    586194     771 nativebacarc  0 3 native
   512   +    586352    587380    1029 nativebacarc  0 3 native
   513   +    587377    588309     933 nativebacarc  0 3 native
   514   +    588325    589167     843 nativebacarc  0 3 native
   515   +    589183    590058     876 nativebacarc  0 3 native
   516   +    590095    590970     876 nativebacarc  0 3 native
   517   +    591111    591347     237 nativebac  0 3 native
   518   +    591475    591576     102 native  0 3 native
   519   +    591654    592784    1131 nativebacarc  0 3 native
